Time,leftPos,leftSpeed,rightPos,rightSpeed
20,0,0,0,0
000006.6,824594.0,4054.0,-833956.0,-4062.0,
00006.62,825273.0,4054.0,-834949.0,-4062.0,
00006.64,826122.0,4054.0,-835588.0,-4063.0,
00006.66,826967.0,4054.0,-836544.0,-4063.0,
00006.68,827807.0,4054.0,-837339.0,-4064.0,
000006.7,828489.0,4055.0,-838021.0,-4066.0,
00006.72,829331.0,4056.0,-839021.0,-4066.0,
00006.74,830182.0,4057.0,-839656.0,-4068.0,
00006.76,831025.0,4058.0,-840459.0,-4068.0,
00006.78,831873.0,4060.0,-841245.0,-4069.0,
000006.8,832716.0,4061.0,-842081.0,-4069.0,
00006.82,833397.0,4062.0,-842926.0,-4067.0,
00006.84,834243.0,4063.0,-843719.0,-4065.0,
00006.86,835086.0,4063.0,-844524.0,-4063.0,
00006.88,835933.0,4062.0,-845304.0,-4062.0,
000006.9,836779.0,4061.0,-846149.0,-4062.0,
00006.92,837624.0,4061.0,-847150.0,-4062.0,
00006.94,838478.0,4061.0,-847788.0,-4063.0,
00006.96,839147.0,4061.0,-848592.0,-4066.0,
00006.98,839998.0,4061.0,-849372.0,-4068.0,
000007.0,840841.0,4062.0,-850217.0,-4069.0,
00007.02,841688.0,4063.0,-851064.0,-4069.0,
00007.04,842363.0,4064.0,-851861.0,-4069.0,
00007.06,843206.0,4063.0,-852662.0,-4069.0,
00007.08,844055.0,4061.0,-853453.0,-4069.0,
000007.1,844903.0,4059.0,-854289.0,-4071.0,
00007.12,845747.0,4058.0,-855303.0,-4072.0,
00007.14,846602.0,4058.0,-855933.0,-4073.0,
00007.16,847445.0,4060.0,-856897.0,-4074.0,
00007.18,848121.0,4062.0,-857524.0,-4075.0,
000007.2,848966.0,4064.0,-858363.0,-4075.0,
00007.22,849814.0,4065.0,-859213.0,-4076.0,
00007.24,850665.0,4064.0,-860005.0,-4074.0,
00007.26,851339.0,4065.0,-860807.0,-4073.0,
00007.28,852355.0,4066.0,-861596.0,-4071.0,
000007.3,853038.0,4067.0,-862426.0,-4069.0,
00007.32,853879.0,4068.0,-863439.0,-4067.0,
00007.34,854733.0,4069.0,-864071.0,-4066.0,
00007.36,855576.0,4068.0,-864873.0,-4066.0,
00007.38,856420.0,4067.0,-865660.0,-4067.0,
000007.4,857104.0,4067.0,-866490.0,-4067.0,
00007.42,857948.0,4066.0,-867347.0,-4065.0,
00007.44,858798.0,4067.0,-868134.0,-4064.0,
00007.46,859641.0,4067.0,-869103.0,-4064.0,
00007.48,860492.0,4067.0,-869728.0,-4064.0,
000007.5,861175.0,4068.0,-870561.0,-4066.0,
00007.52,862014.0,4068.0,-871415.0,-4067.0,
00007.54,862870.0,4068.0,-872214.0,-4068.0,
00007.56,863711.0,4068.0,-873015.0,-4071.0,
00007.58,864563.0,4068.0,-873804.0,-4073.0,
000007.6,865410.0,4069.0,-874630.0,-4075.0,
00007.62,866092.0,4070.0,-875491.0,-4075.0,
00007.64,866940.0,4072.0,-876288.0,-4074.0,
00007.66,867787.0,4073.0,-877094.0,-4074.0,
00007.68,868638.0,4074.0,-877881.0,-4075.0,
000007.7,869318.0,4074.0,-878700.0,-4075.0,
00007.72,871000.0,4073.0,-879551.0,-4073.0,
00007.74,871000.0,4073.0,-880293.0,-4067.0,
00007.76,871776.0,4068.0,-881000.0,-4051.0,
00007.78,872482.0,4052.0,-881659.0,-4006.0,
000007.8,873172.0,4000.0,-882310.0,-3926.0,
00007.82,873714.0,3904.0,-882996.0,-3798.0,
00007.84,874381.0,3769.0,-883634.0,-3652.0,
00007.86,875025.0,3614.0,-884215.0,-3505.0,
00007.88,875642.0,3459.0,-884785.0,-3375.0,
000007.9,876244.0,3322.0,-885351.0,-3260.0,
00007.92,876711.0,3209.0,-885896.0,-3162.0,
00007.94,877289.0,3116.0,-886439.0,-3056.0,
00007.96,877845.0,3031.0,-887006.0,-2953.0,
00007.98,878393.0,2946.0,-887538.0,-2860.0,
000008.0,878929.0,2863.0,-888018.0,-2800.0,
00008.02,879452.0,2788.0,-888502.0,-2751.0,
00008.04,879861.0,2722.0,-888988.0,-2697.0,
00008.06,880369.0,2659.0,-889462.0,-2630.0,
00008.08,880867.0,2599.0,-889925.0,-2560.0,
000008.1,881364.0,2545.0,-890384.0,-2488.0,
00008.12,881853.0,2496.0,-890866.0,-2424.0,
00008.14,882342.0,2456.0,-891369.0,-2382.0,
00008.16,882730.0,2421.0,-891844.0,-2371.0,
00008.18,883210.0,2394.0,-892297.0,-2373.0,
000008.2,883698.0,2371.0,-892751.0,-2376.0,
00008.22,884167.0,2353.0,-893198.0,-2375.0,
00008.24,884644.0,2336.0,-893644.0,-2363.0,
00008.26,885021.0,2322.0,-894072.0,-2336.0,
00008.28,885495.0,2308.0,-894516.0,-2296.0,
000008.3,885971.0,2297.0,-894985.0,-2257.0,
00008.32,886455.0,2288.0,-895467.0,-2234.0,
00008.34,886937.0,2284.0,-895940.0,-2236.0,
00008.36,887421.0,2285.0,-896393.0,-2256.0,
00008.38,887813.0,2290.0,-896854.0,-2282.0,
000008.4,888301.0,2300.0,-897321.0,-2308.0,
00008.42,888800.0,2312.0,-897799.0,-2324.0,
00008.44,889300.0,2327.0,-898262.0,-2333.0,
00008.46,889804.0,2342.0,-898732.0,-2333.0,
00008.48,890305.0,2359.0,-899231.0,-2331.0,
000008.5,890708.0,2375.0,-899760.0,-2342.0,
00008.52,891207.0,2390.0,-900229.0,-2369.0,
