2018.07.13.17.46,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.17.46.58.271,0.1474609375,0.008544921875,1.375,1.125,1.5,1.25,1.9997556207233627,2.0079178885630498,1.9997556207233627,1.9915933528836756,2.25,2.875,3.0,3.0,1.6569403714565005,2.0079178885630498,1.975268817204301,1.9997556207233627,1.25,1.375,-2.2565982404692084,-1.9638318670576735,0.0,0.0,0.0,0.0,12.083603515624999
07.13.17.46.58.396,0.1357421875,-0.03466796875,0.75,0.875,0.875,0.625,0.9100684261974585,0.8989247311827957,0.8952101661779082,0.8914956011730206,0.875,1.0,1.125,1.125,0.0,0.0,0.0,0.0,2.5,3.875,-1.0214076246334312,-1.1543499511241446,0.0,0.0,0.0,0.0,12.491964111328125
07.13.17.46.58.521,0.084716796875,-0.064208984375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54850634765625
07.13.17.46.58.646,0.02099609375,-0.012451171875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.567353759765625
07.13.17.46.58.771,0.01025390625,0.01318359375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.579918701171875
07.13.17.46.58.896,0.0029296875,0.001220703125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.586201171875
07.13.17.46.59.021,-0.001708984375,0.00146484375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605048583984374
07.13.17.46.59.146,-0.002685546875,-0.004150390625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605048583984374
07.13.17.46.59.271,-0.00390625,-0.0029296875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.611331054687499
07.13.17.46.59.396,0.001953125,0.002685546875,1.75,1.25,1.375,1.0,-2.048729227761486,-2.0813782991202343,-2.06505376344086,-2.056891495601173,0.625,1.0,0.875,0.875,-1.8201857282502443,-2.0813782991202343,-2.048729227761486,-2.06505376344086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.121298339843749
07.13.17.46.59.521,-0.03564453125,0.034423828125,0.625,0.875,0.625,0.625,0.0,0.0,0.0,0.0,1.75,2.375,2.5,2.5,-2.1655913978494623,-2.5386119257087,-2.4868035190615836,-2.5075268817204304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17155810546875
07.13.17.46.59.646,-0.0263671875,0.0634765625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.5,3.625,3.375,-2.0930596285434997,-2.5386119257087,-2.497165200391007,-2.5178885630498535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2595126953125
07.13.17.46.59.771,0.013427734375,0.08154296875,0.625,0.0,0.25,0.0,-2.0242424242424244,-2.0242424242424244,-1.9997556207233627,-1.9915933528836756,1.25,2.0,2.125,2.0,-1.7222385141739982,-2.016080156402737,-1.9834310850439882,-2.016080156402737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165275634765624
07.13.17.46.59.896,-0.001953125,0.088623046875,0.125,1.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47311669921875
07.13.17.47.00.021,0.020263671875,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.504529052734375
07.13.17.47.00.146,0.01318359375,0.017578125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53594140625
07.13.17.47.00.271,4.8828125E-4,7.32421875E-4,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5108115234375
07.13.17.47.00.396,-0.002197265625,-0.00537109375,3.0,2.375,2.5,2.5,-2.621505376344086,-2.621505376344086,-2.611143695014663,-2.6007820136852398,2.125,1.875,2.0,2.125,2.3002932551319653,2.621505376344086,2.5800586510263934,2.611143695014663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97051904296875
07.13.17.47.00.521,-0.04736328125,-0.060791015625,3.0,2.875,2.875,2.875,-2.528250244379277,-2.497165200391007,-2.455718475073314,-2.455718475073314,2.0,2.375,2.75,2.625,2.134506353861193,2.4868035190615836,2.4660801564027373,2.4868035190615836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165275634765624
07.13.17.47.00.646,-0.12548828125,-0.1240234375,2.5,2.25,2.25,2.25,-2.528250244379277,-2.5386119257087,-2.5075268817204304,-2.5075268817204304,1.625,2.0,2.25,2.25,2.0930596285434997,2.5386119257087,2.497165200391007,2.528250244379277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19668798828125
07.13.17.47.00.771,-0.160400390625,-0.15283203125,1.625,1.25,1.375,1.375,-2.5386119257087,-2.5593352883675466,-2.5386119257087,-2.528250244379277,0.75,1.125,1.25,1.375,2.175953079178886,2.5593352883675466,2.5178885630498535,2.5489736070381235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316054931640625
07.13.17.47.00.896,-0.1875,-0.181884765625,1.5,1.0,1.0,0.875,-2.5800586510263934,-2.5800586510263934,-2.56969696969697,-2.5593352883675466,0.5,0.875,1.125,1.125,2.124144672531769,2.5800586510263934,2.5386119257087,2.56969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.347467285156249
07.13.17.47.01.021,-0.19140625,-0.1884765625,1.375,1.0,1.0,0.625,-2.1784457478005868,-2.567888563049854,-2.3636363636363638,-2.2454545454545456,0.5,0.75,1.0,1.0,1.2324046920821115,2.4826979472140764,1.4728739002932552,1.490909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.592483642578124
07.13.17.47.01.146,-0.192626953125,-0.188232421875,2.75,2.875,2.625,2.75,2.0324046920821117,2.06505376344086,2.056891495601173,2.048729227761486,0.0,0.125,0.25,0.375,1.7956989247311828,2.06505376344086,2.0405669599217986,2.056891495601173,0.125,0.0,1.3411534701857282,1.3302052785923755,0.0,0.0,0.0,0.0,12.108733398437499
07.13.17.47.01.270,-0.0556640625,-0.16845703125,3.75,4.25,3.75,4.375,2.0242424242424244,1.9915933528836756,1.9671065493646138,1.9589442815249267,0.0,0.5,0.5,0.75,1.6977517106549365,1.9997556207233627,1.9671065493646138,1.9915933528836756,5.875,4.875,4.454545454545455,4.092473118279569,0.0,0.0,0.0,0.0,11.844869628906249
07.13.17.47.01.396,-4.8828125E-4,-0.125,2.625,2.75,2.625,2.75,2.419550342130987,2.018572825024438,2.0661290322580648,2.1657869012707724,0.0,0.5,0.5,0.75,1.9722385141739978,2.3992179863147607,2.3585532746823072,2.3788856304985333,18.625,15.25,7.010850439882698,6.701270772238515,0.0,0.0,0.0,0.0,11.474203857421875
07.13.17.47.01.521,0.0556640625,-0.139404296875,2.25,1.75,1.875,1.625,2.3890518084066468,2.3992179863147607,2.3483870967741933,2.3585532746823072,1.625,1.875,2.125,2.125,1.9722385141739978,2.3992179863147607,2.3585532746823072,2.3788856304985333,11.125,10.0,6.801124144672533,6.801124144672533,0.0,0.0,0.0,0.0,11.863717041015624
07.13.17.47.01.646,0.17578125,-0.114990234375,1.875,2.375,2.375,2.375,2.3992179863147607,2.419550342130987,2.409384164222874,2.3992179863147607,1.75,2.125,2.5,2.5,2.0637341153470183,2.419550342130987,2.3788856304985333,2.409384164222874,10.125,8.375,6.920967741935485,7.0707722385141745,0.0,0.0,0.0,0.0,11.832304687499999
