Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
000002.8,8.25,0.25,2.0,6.375,6.75,1.625,0.625,4.0,11.373684326171874,
00002.82,7.875,0.25,2.0,6.25,7.0,1.625,0.375,4.0,11.329707031249999,
00002.84,7.625,0.25,2.0,6.125,7.125,1.625,0.375,4.0,11.304577148437499,
00002.86,7.125,0.25,2.0,6.25,7.125,1.75,0.375,4.5,11.2543173828125,
00002.88,7.0,0.25,2.0,6.25,7.125,1.625,0.375,4.5,11.285729736328125,
000002.9,7.125,0.25,1.75,6.25,7.0,1.625,0.625,4.25,11.285729736328125,
00002.92,7.375,0.25,1.75,6.625,6.625,1.75,0.625,4.25,11.26688232421875,
00002.94,7.625,0.25,2.0,6.625,6.25,1.75,0.375,4.0,11.26688232421875,
00002.96,7.5,0.25,2.125,6.375,6.25,1.75,0.25,4.0,11.260599853515625,
00002.98,7.625,0.25,2.125,5.875,6.5,1.625,0.25,4.25,11.342271972656249,
000003.0,7.875,0.25,2.25,5.875,6.875,1.625,0.25,3.75,11.298294677734374,
00003.04,7.625,0.25,2.125,5.875,6.875,1.75,0.375,3.75,11.310859619140624,
00003.06,7.5,0.25,2.0,6.125,6.875,1.75,0.375,3.75,11.335989501953124,
00003.08,7.625,0.25,2.125,6.25,7.0,1.75,0.375,4.0,11.273164794921875,
000003.1,7.875,0.25,2.125,6.125,6.75,1.625,0.375,4.0,11.342271972656249,
00003.12,8.0,0.25,2.25,5.875,6.5,1.5,0.375,3.75,11.24175244140625,
00003.14,7.625,0.25,2.5,5.875,6.5,1.625,0.375,3.75,11.4050966796875,
00003.16,7.5,0.25,2.5,6.25,6.625,1.625,0.375,3.75,11.310859619140624,
00003.18,7.375,0.25,2.125,6.25,6.625,1.625,0.375,4.0,11.304577148437499,
000003.2,7.125,0.25,2.25,6.125,6.75,1.75,0.375,4.25,11.285729736328125,
00003.22,6.75,0.25,2.125,6.125,6.625,1.625,0.625,4.25,11.260599853515625,
00003.24,7.375,0.25,2.0,6.625,6.625,1.75,0.375,3.75,11.298294677734374,
00003.26,7.625,0.25,1.75,6.625,6.625,1.75,0.625,3.75,11.2543173828125,
00003.28,7.0,0.25,2.0,6.375,6.5,1.75,0.625,4.0,11.329707031249999,
000003.3,7.375,0.25,2.0,6.25,6.625,1.75,0.375,4.0,11.317142089843749,
00003.34,7.375,0.25,2.0,6.375,6.5,1.75,0.375,4.0,11.329707031249999,
00003.34,7.375,0.25,2.0,5.875,6.5,1.75,0.375,3.75,11.279447265625,
